geoid,name,B19083001,"B19083001, Error"
05000US13011,"Banks County, GA",0.4162,0.0177
05000US13013,"Barrow County, GA",0.3931,0.0114
05000US13015,"Bartow County, GA",0.4388,0.0163
05000US13017,"Ben Hill County, GA",0.4845,0.0323
05000US13019,"Berrien County, GA",0.4356,0.0231
05000US13021,"Bibb County, GA",0.52,0.0139
05000US13023,"Bleckley County, GA",0.4415,0.0265
05000US13025,"Brantley County, GA",0.4322,0.021
05000US13027,"Brooks County, GA",0.5482,0.0467
05000US13029,"Bryan County, GA",0.428,0.0226
05000US13031,"Bulloch County, GA",0.4689,0.0186
05000US13033,"Burke County, GA",0.447,0.0247
05000US13035,"Butts County, GA",0.5216,0.0743
05000US13037,"Calhoun County, GA",0.4748,0.0347
05000US13039,"Camden County, GA",0.4535,0.0405
05000US13043,"Candler County, GA",0.5252,0.0606
05000US13045,"Carroll County, GA",0.428,0.0123
05000US13047,"Catoosa County, GA",0.4179,0.018
05000US13049,"Charlton County, GA",0.4222,0.0246
05000US13051,"Chatham County, GA",0.4869,0.0115
05000US13053,"Chattahoochee County, GA",0.4658,0.0766
05000US13055,"Chattooga County, GA",0.4476,0.0301
05000US13057,"Cherokee County, GA",0.4078,0.0092
05000US13059,"Clarke County, GA",0.522,0.0105
05000US13061,"Clay County, GA",0.4824,0.0375
05000US13063,"Clayton County, GA",0.4147,0.01
05000US13065,"Clinch County, GA",0.5192,0.0396
05000US13067,"Cobb County, GA",0.4501,0.005
05000US13069,"Coffee County, GA",0.4783,0.0248
05000US13071,"Colquitt County, GA",0.4841,0.0203
05000US13073,"Columbia County, GA",0.4004,0.0132
05000US13075,"Cook County, GA",0.4604,0.0273
05000US13077,"Coweta County, GA",0.419,0.012
05000US13079,"Crawford County, GA",0.4662,0.0363
05000US13081,"Crisp County, GA",0.5545,0.0494
05000US13083,"Dade County, GA",0.4437,0.0282
05000US13085,"Dawson County, GA",0.4338,0.0229
05000US13087,"Decatur County, GA",0.479,0.0223
05000US13089,"DeKalb County, GA",0.4894,0.0051
05000US13091,"Dodge County, GA",0.469,0.0266
05000US13093,"Dooly County, GA",0.4815,0.0426
05000US13095,"Dougherty County, GA",0.4933,0.0114
05000US13097,"Douglas County, GA",0.41,0.0137
05000US13099,"Early County, GA",0.4996,0.033
05000US13101,"Echols County, GA",0.5002,0.0603
05000US13103,"Effingham County, GA",0.4409,0.0587
05000US13105,"Elbert County, GA",0.4702,0.0339
05000US13107,"Emanuel County, GA",0.461,0.0237
05000US13109,"Evans County, GA",0.4574,0.0267
05000US13111,"Fannin County, GA",0.4539,0.028
05000US13113,"Fayette County, GA",0.4369,0.0137
05000US13115,"Floyd County, GA",0.475,0.0181
05000US13117,"Forsyth County, GA",0.4017,0.0087
05000US13119,"Franklin County, GA",0.4911,0.0302
05000US13121,"Fulton County, GA",0.5414,0.0049
